query,category
What are the major elements in basalt rock?,Explicit Fact
How does CO2 influence pH in groundwater?,Implicit Fact
What geochemical models predict mineral dissolution?,Interpretable Rationale
How do rare earth elements indicate crustal processes?,Hidden Rationale
What are the primary minerals found in granite?,Explicit Fact
How is weathering rate calculated for feldspars?,Implicit Fact
Why do some minerals resist chemical weathering better than others?,Interpretable Rationale
How does mantle composition influence oceanic crust formation?,Hidden Rationale
What is the Mohs hardness scale for common minerals?,Explicit Fact
How does temperature affect mineral solubility in hydrothermal systems?,Implicit Fact
What factors control the rate of chemical weathering in different climates?,Interpretable Rationale
How do trace elements reflect magma chamber dynamics?,Hidden Rationale
What is the chemical formula for calcite?,Explicit Fact
How does pH affect carbonate precipitation?,Implicit Fact
Why do some elements preferentially partition into specific minerals?,Interpretable Rationale
How do isotopic signatures reveal ancient ocean conditions?,Hidden Rationale
What are the major elemental components of seawater?,Explicit Fact
How does salinity influence mineral precipitation rates?,Implicit Fact
What controls the distribution of rare earth elements in sediments?,Interpretable Rationale
How do fluid inclusions record metamorphic conditions?,Hidden Rationale
What is the atomic number of silicon?,Explicit Fact
How does pressure affect mineral stability?,Implicit Fact
Why do some minerals form solid solutions?,Interpretable Rationale
How do stable isotopes record paleoclimate information?,Hidden Rationale
What are the common oxidation states of iron?,Explicit Fact
How does organic matter affect soil pH?,Implicit Fact
What determines the sequence of mineral crystallization?,Interpretable Rationale
How do REE patterns indicate source rock composition?,Hidden Rationale
What is the density of quartz?,Explicit Fact
How does water chemistry affect clay mineral formation?,Implicit Fact
Why do some elements become concentrated in ore deposits?,Interpretable Rationale
How do radiogenic isotopes track crustal evolution?,Hidden Rationale
What are the end members of plagioclase feldspar?,Explicit Fact
How does atmospheric CO2 affect carbonate dissolution?,Implicit Fact
What controls the rate of silicate weathering?,Interpretable Rationale
How do trace metals record ocean redox conditions?,Hidden Rationale
What is the crystal structure of halite?,Explicit Fact
How does bacterial activity influence mineral dissolution?,Implicit Fact
Why do some minerals show zoning patterns?,Interpretable Rationale
How do isotope ratios reflect mantle processes?,Hidden Rationale
What are the major elements in Earth's core?,Explicit Fact
How does water content affect magma viscosity?,Implicit Fact
What determines the composition of hydrothermal fluids?,Interpretable Rationale
How do element ratios indicate sediment provenance?,Hidden Rationale
What is the chemical composition of olivine?,Explicit Fact
How does acid rain affect mineral weathering?,Implicit Fact
Why do some minerals become metamict?,Interpretable Rationale
How do trace elements record magma evolution?,Hidden Rationale
What are the common sulfide minerals?,Explicit Fact
How does redox state affect element mobility?,Implicit Fact
What controls the formation of different clay minerals?,Interpretable Rationale
How do fluid compositions reflect crustal processes?,Hidden Rationale
What is the hardness of diamond?,Explicit Fact
How does temperature affect isotope fractionation?,Implicit Fact
Why do some minerals show pseudomorphism?,Interpretable Rationale
How do elemental ratios indicate paleosalinity?,Hidden Rationale
What are the primary components of soil?,Explicit Fact
How does microbial activity affect mineral formation?,Implicit Fact
What determines the stability of mineral assemblages?,Interpretable Rationale
How do trace elements record weathering intensity?,Hidden Rationale
What is the crystal system of pyrite?,Explicit Fact
How does groundwater chemistry affect mineral precipitation?,Implicit Fact
Why do some minerals form twins?,Interpretable Rationale
How do isotopes track fluid-rock interaction?,Hidden Rationale
What are the major oxides in basalt?,Explicit Fact
How does surface area affect dissolution rate?,Implicit Fact
What controls the formation of secondary minerals?,Interpretable Rationale
How do element patterns indicate magma mixing?,Hidden Rationale
What is the specific gravity of galena?,Explicit Fact
How does pH affect metal mobility in soils?,Implicit Fact
Why do some minerals show color zoning?,Interpretable Rationale
How do trace elements reflect depositional environment?,Hidden Rationale
What are the common carbonate minerals?,Explicit Fact
How does organic matter affect mineral preservation?,Implicit Fact
What determines the sequence of metamorphic reactions?,Interpretable Rationale
How do isotopes record metamorphic temperatures?,Hidden Rationale
What is the chemical formula for gypsum?,Explicit Fact
